run_id,symbol,boundary_event_key,boundary_structural_key,boundary_attempt_id,boundary_episode_sequence,first_snapshot_time,last_snapshot_time,snapshot_rows,status_progression,final_status,resolution,resolution_basis,terminal,terminal_reason,event_time,attempt_time,first_outside_close_time,first_reentry_time,accepted_time,failed_time,resolution_time,bars_to_resolution,minutes_to_resolution,terminal_time,bars_to_terminal,minutes_to_terminal,archive_time,archive_reason,post_terminal_protection_bars,episode_boundary_id,episode_boundary_side,episode_boundary_price,episode_boundary_source,frozen_range_id,frozen_range_version,frozen_range_low,frozen_range_high,frozen_range_frozen_at,max_outside_excursion_atr,max_close_outside_atr,max_reentry_depth_atr,max_failure_followthrough_atr,retest_detected,auction_state_at_first_seen,auction_state_at_attempt,auction_state_at_terminal,config_version
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,COFORGE,BOUNDARY_EVENT:4de047bf3982ee4fe5ff0826,BOUNDARY_STRUCTURE:099be00609eb0389e1ac45c2,BOUNDARY_ATTEMPT:7387e021b7d1db2f396b67c8,1,2026-07-20 10:18:00+05:30,2026-07-20 10:36:00+05:30,7,APPROACHING>OUTSIDE_ATTEMPT>ACCEPTANCE_BUILDING>FAILURE_BUILDING>FAILED,FAILED,FAILED,DEEP_REENTRY_INSIDE_HOLD,True,DEEP_REENTRY_AND_INSIDE_HOLD_CONFIRMED,2026-07-20 10:18:00+05:30,2026-07-20 10:21:00+05:30,2026-07-20 10:21:00+05:30,2026-07-20 10:27:00+05:30,,2026-07-20 10:30:00+05:30,2026-07-20 10:30:00+05:30,3,9.0,2026-07-20T10:30:00+05:30,3,9.0,2026-07-20T10:36:00+05:30,TERMINAL_EPISODE_RESET_INSIDE_VALUE,2,DYNAMIC:2026-07-20T09:57:00+05:30:2026-07-20T10:12:00+05:30:upper,UPPER,1511.0,INTRADAY_BALANCE,DYNAMIC:2026-07-20T09:57:00+05:30:2026-07-20T10:12:00+05:30,2,1505.9,1511.0,2026-07-20 10:21:00+05:30,0.8690103495337832,0.6116047234654883,0.4115214710409248,0.0,False,CHAOTIC_ROTATION,CHAOTIC_ROTATION,CHAOTIC_ROTATION,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,COFORGE,BOUNDARY_EVENT:5f6177dc5a09fbd5dd568ccf,BOUNDARY_STRUCTURE:42e93fd45a85749e7d2df36c,BOUNDARY_ATTEMPT:bbbce8fc58494d5941cd64da,1,2026-07-20 10:36:00+05:30,2026-07-20 11:12:00+05:30,13,OUTSIDE_ATTEMPT>ACCEPTANCE_BUILDING>ACCEPTED,ACCEPTED,ACCEPTED,,True,SUSTAINED_OUTSIDE_TRADE_CONFIRMED,2026-07-20 10:36:00+05:30,2026-07-20 10:36:00+05:30,2026-07-20 10:36:00+05:30,,2026-07-20 10:42:00+05:30,,2026-07-20 10:42:00+05:30,2,6.0,2026-07-20T10:42:00+05:30,2,6.0,2026-07-20T11:12:00+05:30,TERMINAL_EPISODE_ARCHIVED_FOR_NEW_RANGE,10,DYNAMIC:2026-07-20T09:57:00+05:30:2026-07-20T10:12:00+05:30:lower,LOWER,1505.9,INTRADAY_BALANCE,DYNAMIC:2026-07-20T09:57:00+05:30:2026-07-20T10:12:00+05:30,2,1505.9,1511.0,2026-07-20 10:36:00+05:30,0.5875347443218701,0.3481687373759469,0.0,0.0,True,CHAOTIC_ROTATION,CHAOTIC_ROTATION,TREND_FAILURE,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,COFORGE,BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39,BOUNDARY_STRUCTURE:b601fea76a0be600b273b9ae,BOUNDARY_ATTEMPT:2cb05d3666f9de9f43206be8,1,2026-07-20 11:27:00+05:30,2026-07-20 12:39:00+05:30,25,APPROACHING>OUTSIDE_ATTEMPT>ACCEPTANCE_BUILDING>ACCEPTED,ACCEPTED,ACCEPTED,,True,SUSTAINED_OUTSIDE_TRADE_CONFIRMED,2026-07-20 11:27:00+05:30,2026-07-20 11:42:00+05:30,2026-07-20 11:42:00+05:30,,2026-07-20 11:48:00+05:30,,2026-07-20 11:48:00+05:30,2,6.0,2026-07-20T11:48:00+05:30,2,6.0,2026-07-20T12:39:00+05:30,TERMINAL_EPISODE_ARCHIVED_FOR_NEW_RANGE,17,DYNAMIC:2026-07-20T10:48:00+05:30:2026-07-20T11:09:00+05:30:lower,LOWER,1499.1,INTRADAY_BALANCE,DYNAMIC:2026-07-20T10:48:00+05:30:2026-07-20T11:09:00+05:30,3,1499.1,1505.4,2026-07-20 11:42:00+05:30,0.5519682139107811,0.5519682139107811,0.0,0.0,True,ORDERLY_DOWNTREND,REACCELERATION,ORDERLY_DOWNTREND,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,COFORGE,BOUNDARY_EVENT:8db88fbf81cbf748cc069156,BOUNDARY_STRUCTURE:ebc3ac5102fe097fc69cdd68,BOUNDARY_ATTEMPT:48280f730b2dee2059dcc5a9,1,2026-07-20 12:39:00+05:30,2026-07-20 12:48:00+05:30,4,OUTSIDE_ATTEMPT>FAILURE_BUILDING>FAILED,FAILED,FAILED,DIRECTIONAL_FOLLOWTHROUGH,True,REENTRY_HOLD_AND_DIRECTIONAL_FOLLOWTHROUGH_CONFIRMED,2026-07-20 12:39:00+05:30,2026-07-20 12:39:00+05:30,2026-07-20 12:39:00+05:30,2026-07-20 12:42:00+05:30,,2026-07-20 12:45:00+05:30,2026-07-20 12:45:00+05:30,2,6.0,2026-07-20T12:45:00+05:30,2,6.0,2026-07-20T12:48:00+05:30,TERMINAL_EPISODE_ARCHIVED_FOR_NEW_RANGE,1,DYNAMIC:2026-07-20T12:06:00+05:30:2026-07-20T12:36:00+05:30:upper,UPPER,1498.7,INTRADAY_BALANCE,DYNAMIC:2026-07-20T12:06:00+05:30:2026-07-20T12:36:00+05:30,4,1491.0,1498.7,2026-07-20 12:39:00+05:30,0.3742944353991563,0.30269426745218997,1.5245556165313938,0.5081852055104646,False,CONTROLLED_PULLBACK,CONTROLLED_PULLBACK,REACCELERATION,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,COFORGE,BOUNDARY_EVENT:ef4488e8b9e296abd9ddb528,BOUNDARY_STRUCTURE:9c6988627ee67c49daf2b281,BOUNDARY_ATTEMPT:ccddba9bd1adfd49d58c3071,1,2026-07-20 12:57:00+05:30,2026-07-20 13:36:00+05:30,14,OUTSIDE_ATTEMPT>ACCEPTANCE_BUILDING>ACCEPTED,ACCEPTED,ACCEPTED,,True,SUSTAINED_OUTSIDE_TRADE_CONFIRMED,2026-07-20 12:57:00+05:30,2026-07-20 12:57:00+05:30,2026-07-20 13:00:00+05:30,,2026-07-20 13:03:00+05:30,,2026-07-20 13:03:00+05:30,2,6.0,2026-07-20T13:03:00+05:30,2,6.0,2026-07-20T13:36:00+05:30,TERMINAL_EPISODE_ARCHIVED_FOR_NEW_RANGE,11,DYNAMIC:2026-07-20T12:33:00+05:30:2026-07-20T12:51:00+05:30:upper,UPPER,1499.6,INTRADAY_BALANCE,DYNAMIC:2026-07-20T12:33:00+05:30:2026-07-20T12:51:00+05:30,6,1494.0,1499.6,2026-07-20 12:57:00+05:30,0.4600100988795939,0.1619139428474593,0.0,0.0,True,CONTROLLED_PULLBACK,CONTROLLED_PULLBACK,TREND_FAILURE,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,COFORGE,BOUNDARY_EVENT:024358f8f1b44fdcecc7cc28,BOUNDARY_STRUCTURE:7c70692cfaba6ba2a9678029,BOUNDARY_ATTEMPT:6b633dca9612167bb76d6c77,1,2026-07-20 14:12:00+05:30,2026-07-20 14:45:00+05:30,12,OUTSIDE_ATTEMPT>ACCEPTANCE_BUILDING>ACCEPTED,ACCEPTED,ACCEPTED,,True,SUSTAINED_OUTSIDE_TRADE_CONFIRMED,2026-07-20 14:12:00+05:30,2026-07-20 14:12:00+05:30,2026-07-20 14:12:00+05:30,,2026-07-20 14:18:00+05:30,,2026-07-20 14:18:00+05:30,2,6.0,2026-07-20T14:18:00+05:30,2,6.0,2026-07-20T14:45:00+05:30,TERMINAL_EPISODE_ARCHIVED_FOR_NEW_RANGE,9,DYNAMIC:2026-07-20T13:15:00+05:30:2026-07-20T13:33:00+05:30:upper,UPPER,1506.8,INTRADAY_BALANCE,DYNAMIC:2026-07-20T13:15:00+05:30:2026-07-20T13:33:00+05:30,7,1501.2,1506.8,2026-07-20 14:12:00+05:30,2.75453527874711,2.3546833834450727,0.0,0.0,True,ORDERLY_UPTREND,ORDERLY_UPTREND,ORDERLY_UPTREND,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
CANDIDATE3B1-2026-07-20-2026-07-20-20260722T144157-eb963a31,COFORGE,BOUNDARY_EVENT:f7d3c895772b49f83c111f11,BOUNDARY_STRUCTURE:aba902f319d4fb1fdf871d13,BOUNDARY_ATTEMPT:67e8cc752fc36f8a4dd66230,1,2026-07-20 15:00:00+05:30,2026-07-20 15:27:00+05:30,10,OUTSIDE_ATTEMPT>ACCEPTANCE_BUILDING>ACCEPTED,ACCEPTED,ACCEPTED,,True,SUSTAINED_OUTSIDE_TRADE_CONFIRMED,2026-07-20 15:00:00+05:30,2026-07-20 15:00:00+05:30,2026-07-20 15:00:00+05:30,,2026-07-20 15:06:00+05:30,,2026-07-20 15:06:00+05:30,2,6.0,2026-07-20 15:06:00+05:30,2,6.0,,,7,DYNAMIC:2026-07-20T14:24:00+05:30:2026-07-20T14:42:00+05:30:lower,LOWER,1508.2,INTRADAY_BALANCE,DYNAMIC:2026-07-20T14:24:00+05:30:2026-07-20T14:42:00+05:30,8,1508.2,1512.0,2026-07-20 15:00:00+05:30,1.402855032874156,0.8485960451223561,0.0,0.0,False,RECOMPRESSION,RECOMPRESSION,RECOMPRESSION,AUCTION_ENGINE_PHASE5A4_PERSISTENCE_RESTART_V1
