symbol,section,state,boundary_status,resolution,count,total_symbol_snapshots,pct_of_symbol_snapshots,from_state,to_state,candidate_family,candidate_subtype,candidate_eligibility,unique_candidate_count,unique_opportunity_count,candidate_record_count
__ALL__,BOUNDARY_TRANSITION_COUNT,,,,2,125,,NONE,APPROACHING,,,,,,
__ALL__,BOUNDARY_TRANSITION_COUNT,,,,3,125,,NONE,OUTSIDE_ATTEMPT,,,,,,
__ALL__,BOUNDARY_TRANSITION_COUNT,,,,6,125,,OUTSIDE_ATTEMPT,ACCEPTANCE_BUILDING,,,,,,
__ALL__,BOUNDARY_TRANSITION_COUNT,,,,1,125,,OUTSIDE_ATTEMPT,FAILURE_BUILDING,,,,,,
COFORGE,STATE_COUNT,BOUNDARY_INTERACTION,,,2,125,1.6,,,,,,,,
COFORGE,STATE_COUNT,CHAOTIC_ROTATION,,,8,125,6.4,,,,,,,,
COFORGE,STATE_COUNT,CONTROLLED_PULLBACK,,,13,125,10.4,,,,,,,,
COFORGE,STATE_COUNT,FRESH_EXPANSION,,,2,125,1.6,,,,,,,,
COFORGE,STATE_COUNT,MATURE_EXTENSION,,,2,125,1.6,,,,,,,,
COFORGE,STATE_COUNT,ORDERLY_DOWNTREND,,,22,125,17.6,,,,,,,,
COFORGE,STATE_COUNT,ORDERLY_UPTREND,,,32,125,25.6,,,,,,,,
COFORGE,STATE_COUNT,REACCELERATION,,,10,125,8.0,,,,,,,,
COFORGE,STATE_COUNT,RECOMPRESSION,,,14,125,11.2,,,,,,,,
COFORGE,STATE_COUNT,REVERSAL,,,6,125,4.8,,,,,,,,
COFORGE,STATE_COUNT,TREND_FAILURE,,,8,125,6.4,,,,,,,,
COFORGE,STATE_COUNT,UNKNOWN,,,6,125,4.8,,,,,,,,
COFORGE,BOUNDARY_STATUS_COUNT,,ACCEPTANCE_BUILDING,,6,125,4.8,,,,,,,,
COFORGE,BOUNDARY_STATUS_COUNT,,ACCEPTED,,59,125,47.2,,,,,,,,
COFORGE,BOUNDARY_STATUS_COUNT,,APPROACHING,,6,125,4.8,,,,,,,,
COFORGE,BOUNDARY_STATUS_COUNT,,FAILED,,5,125,4.0,,,,,,,,
COFORGE,BOUNDARY_STATUS_COUNT,,FAILURE_BUILDING,,2,125,1.6,,,,,,,,
COFORGE,BOUNDARY_STATUS_COUNT,,OUTSIDE_ATTEMPT,,7,125,5.6,,,,,,,,
COFORGE,BOUNDARY_TERMINAL_RESOLUTION,,,ACCEPTED,5,125,,,,,,,,,
COFORGE,BOUNDARY_TERMINAL_RESOLUTION,,,FAILED,2,125,,,,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,BOUNDARY_INTERACTION,FRESH_EXPANSION,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,CHAOTIC_ROTATION,TREND_FAILURE,,,,,,
COFORGE,TRANSITION_COUNT,,,,3,125,,CONTROLLED_PULLBACK,REACCELERATION,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,CONTROLLED_PULLBACK,TREND_FAILURE,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,FRESH_EXPANSION,ORDERLY_UPTREND,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,MATURE_EXTENSION,ORDERLY_DOWNTREND,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,ORDERLY_DOWNTREND,CONTROLLED_PULLBACK,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,ORDERLY_DOWNTREND,MATURE_EXTENSION,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,ORDERLY_DOWNTREND,RECOMPRESSION,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,ORDERLY_UPTREND,CHAOTIC_ROTATION,,,,,,
COFORGE,TRANSITION_COUNT,,,,2,125,,ORDERLY_UPTREND,CONTROLLED_PULLBACK,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,ORDERLY_UPTREND,RECOMPRESSION,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,ORDERLY_UPTREND,TREND_FAILURE,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,REACCELERATION,CONTROLLED_PULLBACK,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,REACCELERATION,ORDERLY_DOWNTREND,,,,,,
COFORGE,TRANSITION_COUNT,,,,3,125,,REACCELERATION,ORDERLY_UPTREND,,,,,,
COFORGE,TRANSITION_COUNT,,,,2,125,,RECOMPRESSION,REACCELERATION,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,REVERSAL,ORDERLY_DOWNTREND,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,REVERSAL,ORDERLY_UPTREND,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,TREND_FAILURE,ORDERLY_UPTREND,,,,,,
COFORGE,TRANSITION_COUNT,,,,2,125,,TREND_FAILURE,REVERSAL,,,,,,
COFORGE,TRANSITION_COUNT,,,,1,125,,UNKNOWN,BOUNDARY_INTERACTION,,,,,,
