boundary_event_key,candidate_id,entry_status_counts,executor_entry_updates,executor_exit_updates,exit_status_counts,index,lifecycle_trade_action,management_posture,monitor_error_count,monitor_updates,opportunity_key,selected_candidate_id,selected_opportunity_key,should_exit_signal,signal_action,signal_auction_action,signal_auction_state,signal_directional_alignment,signal_id,signal_reason,signal_stage,signal_status,snapshot_auction_action,snapshot_auction_state,snapshot_time,symbol,trade_count,tradegen_attempted,tradegen_created_count,tradegen_error,tradegen_outcome
,,{},0,0,{},1,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,UNKNOWN,2026-07-24T09:15:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},2,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,UNKNOWN,2026-07-24T09:18:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},3,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,UNKNOWN,2026-07-24T09:21:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},4,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,UNKNOWN,2026-07-24T09:24:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},5,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,FRESH_EXPANSION,2026-07-24T09:27:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},6,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,FRESH_EXPANSION,2026-07-24T09:30:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},7,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,CONTROLLED_PULLBACK,2026-07-24T09:33:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},8,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,REACCELERATION,2026-07-24T09:36:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},9,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,REACCELERATION,2026-07-24T09:39:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},10,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,CONTROLLED_PULLBACK,2026-07-24T09:42:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},11,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,REACCELERATION,2026-07-24T09:45:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},12,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,REACCELERATION,2026-07-24T09:48:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},13,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,ORDERLY_DOWNTREND,2026-07-24T09:51:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},14,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,ORDERLY_DOWNTREND,2026-07-24T09:54:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},15,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,ORDERLY_DOWNTREND,2026-07-24T09:57:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
,,{},0,0,{},16,,,0,0,,,,,NO_ACTION,,,,,,,,NO_LOCAL_OPPORTUNITY,ORDERLY_DOWNTREND,2026-07-24T10:00:00+05:30,MARUTI,0,False,0,,NO_SIGNAL
