auction_action,auction_state,current_profit_r,current_signal_auction_action,current_signal_auction_state,current_signal_directional_alignment,current_signal_management_posture,current_signal_reason,current_signal_should_exit,current_signal_stage,current_signal_status,current_signal_trade_action,current_stop_price,current_target_price,directional_alignment,entry_exec_time,entry_intent_time,entry_status,entry_time,equity_ref,executed_entry_price,executed_exit_price,executed_exit_qty,execution_mode,exit_exec_time,exit_intent_time,exit_pnl,exit_reason,exit_rule,exit_status,group_role,instrument_type,last_pnl,last_pnl_value,last_price,last_time,last_update_reason,lifecycle_trade_action,management_posture,management_reason_code,max_price,mfe_profit_r,min_price,observation_snapshot_time,planned_entry_price,quantity,should_exit_signal,signal_id,signal_stage,signal_status,snapshot_index,source,symbol,trade_id,trade_management_mode,trade_management_version,trade_posture,trade_state_frozen_at_exit,trade_type,userid
,,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,False,ACTIVE,OPEN,CREATE_TRADE,13270.753401353299,13166.164399097801,,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,13208.0,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,0.0,0.0,13208.0,2026-07-24T10:12:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,13208.0,0.0,13208.0,2026-07-24T10:12:00+05:30,13208.0,1,False,de89da2b-1720-5888-a8ea-923a234caca7,,,20,TRADE_GENERATOR,MARUTI,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,False,ACTIVE,OPEN,CREATE_TRADE,13196.753401353299,13092.164399097801,ALIGNED,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,13134.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,0.0,0.0,13134.0,2026-07-24T10:12:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,CREATE_TRADE,STRENGTHEN,AUCTION_CONFIRMED_SIGNAL_CREATED,13134.0,0.0,13134.0,2026-07-24T10:12:00+05:30,13134.0,50,False,de89da2b-1720-5888-a8ea-923a234caca7,ACTIVE,OPEN,20,TRADE_GENERATOR,MARUTI26AUGFUT,2,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
,,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,False,ACTIVE,OPEN,CREATE_TRADE,432.1674744925128,476.61780045109975,,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,455.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,0.0,0.0,455.7,2026-07-24T10:12:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,455.7,0.0,455.7,2026-07-24T10:12:00+05:30,455.7,50,False,de89da2b-1720-5888-a8ea-923a234caca7,,,20,TRADE_GENERATOR,MARUTI26AUG13200PE,3,AUCTION_ADAPTIVE_V2,2,HOLD,False,BUY,DR1812
,,-0.7170926042184024,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,13270.753401353299,13166.164399097801,,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,13208.0,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,-15.0,-15.0,13223.0,2026-07-24T10:15:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,13223.0,0.0,13208.0,2026-07-24T10:15:00+05:30,13208.0,1,False,de89da2b-1720-5888-a8ea-923a234caca7,,,21,TRADE_GENERATOR,MARUTI,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,13196.753401353299,13092.164399097801,ALIGNED,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,13134.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,0.0,0.0,13134.0,2026-07-24T10:15:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,13134.0,0.0,13134.0,2026-07-24T10:15:00+05:30,13134.0,50,False,de89da2b-1720-5888-a8ea-923a234caca7,ACTIVE,OPEN,21,TRADE_GENERATOR,MARUTI26AUGFUT,2,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
,,0.3250819805790091,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,432.1674744925128,476.61780045109975,,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,455.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,3.4,170.0,459.1,2026-07-24T10:15:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,459.1,0.3250819805790091,455.7,2026-07-24T10:15:00+05:30,455.7,50,False,de89da2b-1720-5888-a8ea-923a234caca7,,,21,TRADE_GENERATOR,MARUTI26AUG13200PE,3,AUCTION_ADAPTIVE_V2,2,HOLD,False,BUY,DR1812
,,-1.0517358195203235,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,13270.753401353299,13166.164399097801,,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,13208.0,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,-22.0,-22.0,13230.0,2026-07-24T10:18:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,13230.0,0.0,13208.0,2026-07-24T10:18:00+05:30,13208.0,1,False,de89da2b-1720-5888-a8ea-923a234caca7,,,22,TRADE_GENERATOR,MARUTI,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.09561234722912032,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,13196.753401353299,13092.164399097801,ALIGNED,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,13134.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,2.0,100.0,13132.0,2026-07-24T10:18:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,13134.0,0.09561234722912032,13132.0,2026-07-24T10:18:00+05:30,13134.0,50,False,de89da2b-1720-5888-a8ea-923a234caca7,ACTIVE,OPEN,22,TRADE_GENERATOR,MARUTI26AUGFUT,2,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
,,-0.46371988406123354,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,432.1674744925128,476.61780045109975,,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,455.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,-4.85,-242.5,450.85,2026-07-24T10:18:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,459.1,0.3250819805790091,450.85,2026-07-24T10:18:00+05:30,455.7,50,False,de89da2b-1720-5888-a8ea-923a234caca7,,,22,TRADE_GENERATOR,MARUTI26AUG13200PE,3,AUCTION_ADAPTIVE_V2,2,HOLD,False,BUY,DR1812
,,-1.768828423738726,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,13270.753401353299,13166.164399097801,,2026-07-24T10:12:00,2026-07-24T10:12:00,FILLED,2026-07-24T10:12:00,MARUTI,13208.0,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,-37.0,-37.0,13245.0,2026-07-24T10:21:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,13245.0,0.0,13208.0,2026-07-24T10:21:00+05:30,13208.0,1,False,de89da2b-1720-5888-a8ea-923a234caca7,,,23,TRADE_GENERATOR,MARUTI,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
