auction_action,auction_state,current_profit_r,current_stop_price,current_target_price,directional_alignment,entry_exec_time,entry_intent_time,entry_status,entry_time,equity_ref,executed_entry_price,executed_exit_price,executed_exit_qty,execution_mode,exit_exec_time,exit_intent_time,exit_pnl,exit_reason,exit_rule,exit_status,group_role,instrument_type,last_pnl,last_pnl_value,last_price,last_time,last_update_reason,lifecycle_trade_action,management_posture,management_reason_code,max_price,mfe_profit_r,min_price,planned_entry_price,quantity,should_exit_signal,signal_id,signal_stage,signal_status,source,symbol,trade_id,trade_management_mode,trade_management_version,trade_posture,trade_type,userid
,,2.6415621665732814,1493.8954330936542,1491.35905515609,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,1491.0,1,VIRTUAL,2026-07-20T12:12:00,2026-07-20T12:12:00,6.7,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_TARGET:exit_on_current_adaptive_target,FILLED,FOLLOWER,EQ,6.7,6.7,1491.0,2026-07-20T12:12:00,FOLLOW_GROUP_REFERENCE_FUT_5:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,1498.5,2.6415621665732814,1491.0,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,TRADE_GENERATOR,COFORGE,4,AUCTION_ADAPTIVE_V2,2,PROTECT,SELL,DR1812
LOCAL_CONFIRMED,MATURE_EXTENSION,2.6021358655796503,1500.1954330936542,1497.6590551560903,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1504.0,1497.4,475,VIRTUAL,2026-07-20T12:12:00,2026-07-20T12:12:00,3135.0,ADAPTIVE_TARGET,exit_on_current_adaptive_target,FILLED,REFERENCE,FUT,6.6,3135.0,1497.4,2026-07-20T12:12:00,PROTECT_GROUP_REFERENCE_STAGE_PROTECT_POSTURE_CAUTION,TIGHTEN_STOP,CAUTION,AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,1504.0,2.6021358655796503,1497.4,1504.0,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,PROTECT,OPEN,TRADE_GENERATOR,COFORGE26JULFUT,5,AUCTION_ADAPTIVE_V2,2,PROTECT,SELL,DR1812
,,3.075251477503223,39.7522834531729,41.02047242195489,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,37.85,41.75,475,VIRTUAL,2026-07-20T12:12:00,2026-07-20T12:12:00,1852.5,RELATED_PRIMARY_EXIT,close_sibling_legs_on_primary_exit:ADAPTIVE_TARGET:exit_on_current_adaptive_target,FILLED,FOLLOWER,PE,3.9,1852.5,41.75,2026-07-20T12:12:00,FOLLOW_GROUP_REFERENCE_FUT_5:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,41.75,3.075251477503223,37.85,37.85,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,TRADE_GENERATOR,COFORGE26JUL1500PE,6,AUCTION_ADAPTIVE_V2,2,PROTECT,BUY,DR1812
