action,confidence,entity_id,entity_type,evaluation_stage,id,new_state,payload_json,previous_state,reason_code,reason_text,symbol,ts,userid
CREATE,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,1,ACTIVE,"{""active_opportunity_key"": null, ""analytics"": {""last_pnl"": 0.0, ""last_pnl_value"": 0.0, ""max_pnl"": 0.0, ""max_pnl_value"": 0.0, ""max_price"": 1497.7, ""max_time"": ""2026-07-20T11:48:00+05:30"", ""min_pnl"": 0.0, ""min_pnl_value"": 0.0, ""min_price"": 1497.7, ""min_time"": ""2026-07-20T11:48:00+05:30""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 1497.7, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1497.7, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": false, ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T11:48:00+05:30"", ""terminal"": false}",,AUCTION_CONFIRMED_SIGNAL_CREATED,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,COFORGE,2026-07-20T11:48:00,
ALLOW,,8fe06372-2c41-5455-a8d7-d416c3095471,TRADE_DECISION,TRADE_GENERATOR,2,ACTIVE,"{""audit_mode"": ""PRODUCTION"", ""decision"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""COFORGE"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""COFORGE"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""COFORGE"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}, ""lifecycle_name"": ""DEFAULT"", ""originating_setup"": ""ACCEPTED_BREAKOUT"", ""result"": {""created"": [""EQ:COFORGE"", ""FUT:COFORGE26JULFUT"", ""PE:COFORGE26JUL1500PE""], ""created_count"": 3, ""ok"": true, ""trade_ids"": [1, 2, 3], ""validation"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""COFORGE"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""COFORGE"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""COFORGE"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}}, ""side"": ""SELL"", ""signal"": {""first_seen_time"": ""2026-07-20T11:48:00"", ""last_eval_time"": ""2026-07-20T11:48:00"", ""last_snapshot_time"": ""2026-07-20T11:48:00"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471""}, ""snapshot_time"": ""2026-07-20T11:48:00""}",OPEN,allowed,AUCTION_CONFIRMED_SIGNAL_CREATED,COFORGE,2026-07-20T11:48:00,DR1812
CREATE_TRADE,,"1,2,3",TRADE,TRADE_GENERATOR,3,TRADE_CREATED,"{""audit_mode"": ""PRODUCTION"", ""lifecycle_name"": ""DEFAULT"", ""originating_setup"": ""ACCEPTED_BREAKOUT"", ""result"": {""created"": [""EQ:COFORGE"", ""FUT:COFORGE26JULFUT"", ""PE:COFORGE26JUL1500PE""], ""created_count"": 3, ""ok"": true, ""trade_ids"": [1, 2, 3], ""validation"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""COFORGE"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""COFORGE"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""COFORGE"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}}, ""side"": ""SELL"", ""signal"": {""first_seen_time"": ""2026-07-20T11:48:00"", ""last_eval_time"": ""2026-07-20T11:48:00"", ""last_snapshot_time"": ""2026-07-20T11:48:00"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471""}, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""snapshot_time"": ""2026-07-20T11:48:00"", ""trade_ids"": [1, 2, 3]}",SIGNAL_OPEN,trade_generator_allowed,AUCTION_CONFIRMED_SIGNAL_CREATED,COFORGE,2026-07-20T11:48:00,DR1812
ENTRY_FILLED,,1,TRADE,TRADE_EXECUTOR,4,ENTRY:FILLED|EXIT:NONE,"{""audit_mode"": ""PRODUCTION"", ""entry_order_id"": null, ""entry_status"": ""FILLED"", ""exec_status"": null, ""executed_entry_price"": 1497.7, ""executed_entry_qty"": 1, ""executed_exit_price"": null, ""executed_exit_qty"": 0, ""execution_mode"": ""VIRTUAL"", ""exit_order_id"": null, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": ""NONE"", ""instrument_type"": ""EQ"", ""planned_entry_price"": 1497.7, ""side"": ""SELL"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""updated_fields"": [""entry_exec_time"", ""entry_reconciled_at"", ""entry_status"", ""exec_last_checked_at"", ""exec_status"", ""exec_status_message"", ""executed_entry_price"", ""executed_entry_qty"", ""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_time"", ""max_price"", ""max_time"", ""min_price"", ""min_time"", ""reconcile_last_checked_at"", ""reconcile_status"", ""reconcile_status_message"", ""trade_management""]}",ENTRY:READY|EXIT:NONE,ENTRY_FILLED,ENTRY_FILLED,COFORGE,2026-07-20T11:48:00,DR1812
MONITOR,,1,TRADE,TRADE_MONITOR,8,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 1497.7, ""entry_price"": 1497.7, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""EQ"", ""last_price"": 1497.7, ""management"": {""auction_action"": null, ""auction_state"": null, ""current_profit_r"": 0.0, ""current_stop_price"": 1505.3091338126917, ""current_target_price"": 1492.6272441248725, ""directional_alignment"": null, ""exit_pressure"": ""LOW"", ""expansion_count"": 0, ""last_target_hit_price"": null, ""last_update_reason"": ""FOLLOW_GROUP_REFERENCE_FUT_2:CREATE"", ""lifecycle_trade_action"": null, ""management_posture"": null, ""management_reason_code"": null, ""max_favorable_price"": 1497.7, ""mfe_profit_r"": 0.0, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""HOLD"", ""profit_protection_applied"": false, ""should_exit_signal"": false, ""signal_stage"": null, ""signal_status"": null, ""stop_r_multiple"": 2.999999999999985, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.0, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": 0.0, ""pnl_value"": 0.0, ""side"": ""SELL"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""should_exit_signal"": false, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,COFORGE,2026-07-20T11:48:00,DR1812
HOLD,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,10,ACTIVE,"{""active_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""analytics"": {""last_pnl"": 0.0134, ""last_pnl_value"": 0.2, ""max_pnl"": 0.0134, ""max_pnl_value"": 0.2, ""max_price"": 1497.7, ""max_time"": ""2026-07-20T11:48:00"", ""min_pnl"": 0.0, ""min_pnl_value"": 0.0, ""min_price"": 1497.5, ""min_time"": ""2026-07-20T11:51:00+05:30""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 1497.5, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1497.5, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": true, ""signal_action"": ""HOLD"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T11:51:00+05:30"", ""terminal"": false}",ACTIVE,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,COFORGE,2026-07-20T11:51:00,
MONITOR,,1,TRADE,TRADE_MONITOR,12,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 1497.7, ""entry_price"": 1497.7, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""EQ"", ""last_price"": 1497.5, ""management"": {""auction_action"": null, ""auction_state"": null, ""current_profit_r"": 0.07885260198726213, ""current_stop_price"": 1505.3091338126917, ""current_target_price"": 1492.6272441248725, ""directional_alignment"": null, ""exit_pressure"": ""LOW"", ""expansion_count"": 0, ""last_target_hit_price"": null, ""last_update_reason"": ""FOLLOW_GROUP_REFERENCE_FUT_2:CREATE"", ""lifecycle_trade_action"": null, ""management_posture"": null, ""management_reason_code"": null, ""max_favorable_price"": 1497.5, ""mfe_profit_r"": 0.07885260198726213, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""HOLD"", ""profit_protection_applied"": false, ""should_exit_signal"": false, ""signal_stage"": null, ""signal_status"": null, ""stop_r_multiple"": 2.999999999999985, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.0, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": 0.2, ""pnl_value"": 0.2, ""side"": ""SELL"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""HOLD_POSITION"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""should_exit_signal"": false, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""min_price"", ""min_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,COFORGE,2026-07-20T11:51:00,DR1812
MONITOR,,1,TRADE,TRADE_MONITOR,15,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 1497.7, ""entry_price"": 1497.7, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""EQ"", ""last_price"": 1495.2, ""management"": {""auction_action"": null, ""auction_state"": null, ""current_profit_r"": 0.9856575248407766, ""current_stop_price"": 1498.968188968782, ""current_target_price"": 1492.6272441248725, ""directional_alignment"": null, ""exit_pressure"": ""LOW"", ""expansion_count"": 0, ""last_target_hit_price"": null, ""last_update_reason"": ""FOLLOW_GROUP_REFERENCE_FUT_2:GROUP_MFE_RATCHET_MFE_1.22R_STOP_-0.50R"", ""lifecycle_trade_action"": null, ""management_posture"": null, ""management_reason_code"": null, ""max_favorable_price"": 1495.2, ""mfe_profit_r"": 0.9856575248407766, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""EXPAND"", ""profit_protection_applied"": true, ""should_exit_signal"": false, ""signal_stage"": null, ""signal_status"": null, ""stop_r_multiple"": 0.5000000000000172, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.0, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": 2.5, ""pnl_value"": 2.5, ""side"": ""SELL"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""HOLD_POSITION"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""should_exit_signal"": false, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""min_price"", ""min_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,COFORGE,2026-07-20T11:54:00,DR1812
MONITOR,,1,TRADE,TRADE_MONITOR,18,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 1497.7, ""entry_price"": 1497.7, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""EQ"", ""last_price"": 1496.5, ""management"": {""auction_action"": null, ""auction_state"": null, ""current_profit_r"": 0.4731156119235728, ""current_stop_price"": 1493.8954330936542, ""current_target_price"": 1491.35905515609, ""directional_alignment"": null, ""exit_pressure"": ""LOW"", ""expansion_count"": 1, ""last_target_hit_price"": 1498.9272441248722, ""last_update_reason"": ""FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER"", ""lifecycle_trade_action"": null, ""management_posture"": null, ""management_reason_code"": null, ""max_favorable_price"": 1495.2, ""mfe_profit_r"": 0.9856575248407766, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""EXPAND"", ""profit_protection_applied"": true, ""should_exit_signal"": false, ""signal_stage"": null, ""signal_status"": null, ""stop_r_multiple"": 1.499999999999973, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.5, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": 1.2, ""pnl_value"": 1.2, ""side"": ""SELL"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""HOLD_POSITION"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""should_exit_signal"": false, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,COFORGE,2026-07-20T11:57:00,DR1812
MONITOR,,1,TRADE,TRADE_MONITOR,21,NONE,"{""audit_mode"": ""PRODUCTION"", ""basis_price"": 1497.7, ""entry_price"": 1497.7, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": null, ""instrument_type"": ""EQ"", ""last_price"": 1498.5, ""management"": {""auction_action"": null, ""auction_state"": null, ""current_profit_r"": -0.3154104079490485, ""current_stop_price"": 1493.8954330936542, ""current_target_price"": 1491.35905515609, ""directional_alignment"": null, ""exit_pressure"": ""LOW"", ""expansion_count"": 1, ""last_target_hit_price"": 1498.9272441248722, ""last_update_reason"": ""FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER"", ""lifecycle_trade_action"": null, ""management_posture"": null, ""management_reason_code"": null, ""max_favorable_price"": 1495.2, ""mfe_profit_r"": 0.9856575248407766, ""mode"": ""AUCTION_ADAPTIVE_V2"", ""posture"": ""EXPAND"", ""profit_protection_applied"": true, ""should_exit_signal"": false, ""signal_stage"": null, ""signal_status"": null, ""stop_r_multiple"": 1.499999999999973, ""target_expansion_allowed"": true, ""target_r_multiple"": 2.5, ""trail_mode"": ""NORMAL"", ""version"": 2}, ""pnl_per_unit"": -0.8, ""pnl_value"": -0.8, ""side"": ""SELL"", ""signal_contract"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V2"", ""directional_alignment"": ""ALIGNED"", ""lifecycle_trade_action"": ""HOLD_POSITION"", ""management_posture"": ""STRENGTHEN"", ""management_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""should_exit_signal"": false, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""stage"": ""ACTIVE"", ""status"": ""OPEN""}, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""update_fields"": [""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_snapshot"", ""last_time"", ""max_price"", ""max_time"", ""trade_management""]}",NONE,monitor_update,monitor_update,COFORGE,2026-07-20T12:00:00,DR1812
