auction_action,auction_state,current_profit_r,current_signal_auction_action,current_signal_auction_state,current_signal_directional_alignment,current_signal_management_posture,current_signal_reason,current_signal_should_exit,current_signal_stage,current_signal_status,current_signal_trade_action,current_stop_price,current_target_price,directional_alignment,entry_exec_time,entry_intent_time,entry_status,entry_time,equity_ref,executed_entry_price,executed_exit_price,executed_exit_qty,execution_mode,exit_exec_time,exit_intent_time,exit_pnl,exit_reason,exit_rule,exit_status,group_role,instrument_type,last_pnl,last_pnl_value,last_price,last_time,last_update_reason,lifecycle_trade_action,management_posture,management_reason_code,max_price,mfe_profit_r,min_price,observation_snapshot_time,planned_entry_price,quantity,should_exit_signal,signal_id,signal_stage,signal_status,snapshot_index,source,symbol,trade_id,trade_management_mode,trade_management_version,trade_posture,trade_state_frozen_at_exit,trade_type,userid
,,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,False,ACTIVE,OPEN,CREATE_TRADE,1505.3091338126917,1492.6272441248723,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,0.0,0.0,1497.7,2026-07-20T11:48:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,1497.7,0.0,1497.7,2026-07-20T11:48:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,52,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,False,ACTIVE,OPEN,CREATE_TRADE,1511.6091338126917,1498.9272441248722,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1504.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,0.0,0.0,1504.0,2026-07-20T11:48:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,CREATE_TRADE,STRENGTHEN,AUCTION_CONFIRMED_SIGNAL_CREATED,1504.0,0.0,1504.0,2026-07-20T11:48:00+05:30,1504.0,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,52,TRADE_GENERATOR,COFORGE26JULFUT,2,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
,,0.0,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,False,ACTIVE,OPEN,CREATE_TRADE,34.996574820240596,40.386377937563914,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,37.85,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,0.0,0.0,37.85,2026-07-20T11:48:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,37.85,0.0,37.85,2026-07-20T11:48:00+05:30,37.85,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,52,TRADE_GENERATOR,COFORGE26JUL1500PE,3,AUCTION_ADAPTIVE_V2,2,HOLD,False,BUY,DR1812
,,0.07885260198726213,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1505.3091338126917,1492.6272441248723,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,0.2,0.2,1497.5,2026-07-20T11:51:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,1497.7,0.07885260198726213,1497.5,2026-07-20T11:51:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,53,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,0.6702471168917281,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1511.6091338126917,1498.9272441248722,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1504.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,1.7,807.5,1502.3,2026-07-20T11:51:00,HOLD_AUCTION_SIGNAL_STAGE_ACTIVE_POSTURE_STRENGTHEN,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1504.0,0.6702471168917281,1502.3,2026-07-20T11:51:00+05:30,1504.0,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,53,TRADE_GENERATOR,COFORGE26JULFUT,2,AUCTION_ADAPTIVE_V2,2,HOLD,False,SELL,DR1812
,,0.07885260198726213,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,34.996574820240596,40.386377937563914,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,37.85,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,0.1,47.5,37.95,2026-07-20T11:51:00,FOLLOW_GROUP_REFERENCE_FUT_2:CREATE,,,,37.95,0.07885260198726213,37.85,2026-07-20T11:51:00+05:30,37.85,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,53,TRADE_GENERATOR,COFORGE26JUL1500PE,3,AUCTION_ADAPTIVE_V2,2,HOLD,False,BUY,DR1812
,,0.9856575248407766,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1498.968188968782,1492.6272441248723,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,2.5,2.5,1495.2,2026-07-20T11:54:00,FOLLOW_GROUP_REFERENCE_FUT_2:GROUP_MFE_RATCHET_MFE_1.22R_STOP_-0.50R,,,,1497.7,0.9856575248407766,1495.2,2026-07-20T11:54:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,54,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,1.222215330802563,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1505.268188968782,1498.9272441248722,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1504.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,3.1,1472.5,1500.9,2026-07-20T11:54:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_1.22;GROUP_MFE_RATCHET_MFE_1.22R_STOP_-0.50R,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1504.0,1.222215330802563,1500.9,2026-07-20T11:54:00+05:30,1504.0,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,54,TRADE_GENERATOR,COFORGE26JULFUT,2,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
,,0.9068049228535146,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,37.215905515609,40.386377937563914,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,37.85,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,1.15,546.25,39.0,2026-07-20T11:54:00,FOLLOW_GROUP_REFERENCE_FUT_2:GROUP_MFE_RATCHET_MFE_1.22R_STOP_-0.50R,,,,39.0,0.9068049228535146,37.85,2026-07-20T11:54:00+05:30,37.85,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,54,TRADE_GENERATOR,COFORGE26JUL1500PE,3,AUCTION_ADAPTIVE_V2,2,EXPAND,False,BUY,DR1812
,,0.47311561192357277,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1493.8954330936542,1491.35905515609,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,1.2,1.2,1496.5,2026-07-20T11:57:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,1497.7,0.9856575248407766,1495.2,2026-07-20T11:57:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,55,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,2.3655780596178637,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1500.1954330936542,1497.6590551560903,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1504.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,6.0,2850.0,1498.0,2026-07-20T11:57:00,TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1504.0,2.3655780596178637,1498.0,2026-07-20T11:57:00+05:30,1504.0,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,55,TRADE_GENERATOR,COFORGE26JULFUT,2,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
,,1.3010679327898251,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,39.7522834531729,41.02047242195489,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,37.85,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,1.65,783.75,39.5,2026-07-20T11:57:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,39.5,1.3010679327898251,37.85,2026-07-20T11:57:00+05:30,37.85,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,55,TRADE_GENERATOR,COFORGE26JUL1500PE,3,AUCTION_ADAPTIVE_V2,2,EXPAND,False,BUY,DR1812
,,-0.3154104079490485,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1493.8954330936542,1491.35905515609,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,-0.8,-0.8,1498.5,2026-07-20T12:00:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,1498.5,0.9856575248407766,1495.2,2026-07-20T12:00:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,56,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,1.892462447694291,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1500.1954330936542,1497.6590551560903,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1504.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,4.8,2280.0,1499.2,2026-07-20T12:00:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_1.89,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1504.0,2.3655780596178637,1498.0,2026-07-20T12:00:00+05:30,1504.0,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,56,TRADE_GENERATOR,COFORGE26JULFUT,2,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
,,1.892462447694291,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,39.7522834531729,41.02047242195489,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,37.85,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,2.4,1140.0,40.25,2026-07-20T12:00:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,40.25,1.892462447694291,37.85,2026-07-20T12:00:00+05:30,37.85,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,56,TRADE_GENERATOR,COFORGE26JUL1500PE,3,AUCTION_ADAPTIVE_V2,2,EXPAND,False,BUY,DR1812
,,-0.3154104079490485,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1493.8954330936542,1491.35905515609,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1497.7,,0,VIRTUAL,,,,,,NONE,FOLLOWER,EQ,-0.8,-0.8,1498.5,2026-07-20T12:03:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,1498.5,0.9856575248407766,1495.2,2026-07-20T12:03:00+05:30,1497.7,1,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,57,TRADE_GENERATOR,COFORGE,1,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
LOCAL_CONFIRMED,ORDERLY_DOWNTREND,1.734757243719767,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,1500.1954330936542,1497.6590551560903,ALIGNED,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,1504.0,,0,VIRTUAL,,,,,,NONE,REFERENCE,FUT,4.4,2090.0,1499.6,2026-07-20T12:03:00,EXPAND_READY_STAGE_ACTIVE_PROFIT_R_1.73,HOLD_POSITION,STRENGTHEN,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,1504.0,2.3655780596178637,1498.0,2026-07-20T12:03:00+05:30,1504.0,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,ACTIVE,OPEN,57,TRADE_GENERATOR,COFORGE26JULFUT,2,AUCTION_ADAPTIVE_V2,2,EXPAND,False,SELL,DR1812
,,1.4587731367643495,LOCAL_CONFIRMED,ORDERLY_DOWNTREND,ALIGNED,STRENGTHEN,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,False,ACTIVE,OPEN,HOLD_POSITION,39.7522834531729,41.02047242195489,,2026-07-20T11:48:00,2026-07-20T11:48:00,FILLED,2026-07-20T11:48:00,COFORGE,37.85,,0,VIRTUAL,,,,,,NONE,FOLLOWER,PE,1.85,878.75,39.7,2026-07-20T12:03:00,FOLLOW_GROUP_REFERENCE_FUT_2:TARGET_HIT_EXPANDED_1_STEP_TO_2.5R_LOCK_STOP_AT_COMPLETED_TARGET_BUFFER,,,,40.25,1.892462447694291,37.85,2026-07-20T12:03:00+05:30,37.85,475,False,8fe06372-2c41-5455-a8d7-d416c3095471,,,57,TRADE_GENERATOR,COFORGE26JUL1500PE,3,AUCTION_ADAPTIVE_V2,2,EXPAND,False,BUY,DR1812
