action,confidence,entity_id,entity_type,evaluation_stage,id,new_state,payload_json,previous_state,reason_code,reason_text,symbol,ts,userid
CREATE,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,1,ACTIVE,"{""active_opportunity_key"": null, ""analytics"": {""last_pnl"": 0.0, ""last_pnl_value"": 0.0, ""max_pnl"": 0.0, ""max_pnl_value"": 0.0, ""max_price"": 1497.7, ""max_time"": ""2026-07-20T11:48:00+05:30"", ""min_pnl"": 0.0, ""min_pnl_value"": 0.0, ""min_price"": 1497.7, ""min_time"": ""2026-07-20T11:48:00+05:30""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 1497.7, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1497.7, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": false, ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T11:48:00+05:30"", ""terminal"": false}",,AUCTION_CONFIRMED_SIGNAL_CREATED,CREATE:ACTIVE:AUCTION_CONFIRMED_SIGNAL_CREATED,COFORGE,2026-07-20T11:48:00,
ALLOW,,8fe06372-2c41-5455-a8d7-d416c3095471,TRADE_DECISION,TRADE_GENERATOR,2,ACTIVE,"{""audit_mode"": ""PRODUCTION"", ""decision"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""confidence"": null, ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V1"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""COFORGE"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""COFORGE"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""quality"": null, ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""COFORGE"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}, ""lifecycle_name"": ""DEFAULT"", ""originating_setup"": ""ACCEPTED_BREAKOUT"", ""result"": {""created"": [""EQ:COFORGE""], ""created_count"": 1, ""ok"": true, ""trade_ids"": [1], ""validation"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""confidence"": null, ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V1"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""COFORGE"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""COFORGE"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""quality"": null, ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""COFORGE"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}}, ""side"": ""SELL"", ""signal"": {""first_seen_time"": ""2026-07-20T11:48:00"", ""last_eval_time"": ""2026-07-20T11:48:00"", ""last_snapshot_time"": ""2026-07-20T11:48:00"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471""}, ""snapshot_time"": ""2026-07-20T11:48:00""}",OPEN,allowed,AUCTION_CONFIRMED_SIGNAL_CREATED,COFORGE,2026-07-20T11:48:00,DR1812
CREATE_TRADE,,1,TRADE,TRADE_GENERATOR,3,TRADE_CREATED,"{""audit_mode"": ""PRODUCTION"", ""lifecycle_name"": ""DEFAULT"", ""originating_setup"": ""ACCEPTED_BREAKOUT"", ""result"": {""created"": [""EQ:COFORGE""], ""created_count"": 1, ""ok"": true, ""trade_ids"": [1], ""validation"": {""allowed"": true, ""decision"": ""ALLOW"", ""details"": {""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""boundary_event_key"": ""BOUNDARY_EVENT:3fd0a5096f6c5ffba3e25d39"", ""candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""confidence"": null, ""contract_version"": ""AUCTION_SIGNAL_DOWNSTREAM_V1"", ""directional_alignment"": ""ALIGNED"", ""duplicate_symbol_check"": {""equity_ref"": ""COFORGE"", ""family_has_active_trade"": false, ""policy"": ""one_active_trade_family_per_user_symbol""}, ""equity_ref"": ""COFORGE"", ""lifecycle_reason"": ""AUCTION_CONFIRMED_SIGNAL_CREATED"", ""lifecycle_trade_action"": ""CREATE_TRADE"", ""management_posture"": ""STRENGTHEN"", ""mode"": ""AUTO"", ""opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""quality"": null, ""setup_family"": ""ACCEPTED_BREAKOUT"", ""should_exit_signal"": false, ""side"": ""SELL"", ""signal_action"": ""CREATE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_stage"": ""ACTIVE"", ""signal_state"": ""READY"", ""signal_status"": ""OPEN"", ""symbol"": ""COFORGE"", ""userid"": ""DR1812""}, ""entry_decision"": ""ENTRY_ELIGIBLE"", ""ok"": true, ""reasons"": [], ""warnings"": []}}, ""side"": ""SELL"", ""signal"": {""first_seen_time"": ""2026-07-20T11:48:00"", ""last_eval_time"": ""2026-07-20T11:48:00"", ""last_snapshot_time"": ""2026-07-20T11:48:00"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471""}, ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""snapshot_time"": ""2026-07-20T11:48:00"", ""trade_ids"": [1]}",SIGNAL_OPEN,trade_generator_allowed,AUCTION_CONFIRMED_SIGNAL_CREATED,COFORGE,2026-07-20T11:48:00,DR1812
ENTRY_FILLED,,1,TRADE,TRADE_EXECUTOR,4,ENTRY:FILLED|EXIT:NONE,"{""audit_mode"": ""PRODUCTION"", ""entry_order_id"": null, ""entry_status"": ""FILLED"", ""exec_status"": null, ""executed_entry_price"": 1497.7, ""executed_entry_qty"": 1, ""executed_exit_price"": null, ""executed_exit_qty"": 0, ""execution_mode"": ""VIRTUAL"", ""exit_order_id"": null, ""exit_reason"": null, ""exit_rule"": null, ""exit_status"": ""NONE"", ""instrument_type"": ""EQ"", ""planned_entry_price"": 1497.7, ""side"": ""SELL"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""updated_fields"": [""entry_exec_time"", ""entry_reconciled_at"", ""entry_status"", ""exec_last_checked_at"", ""exec_status"", ""exec_status_message"", ""executed_entry_price"", ""executed_entry_qty"", ""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_time"", ""max_price"", ""max_time"", ""min_price"", ""min_time"", ""reconcile_last_checked_at"", ""reconcile_status"", ""reconcile_status_message"", ""trade_management""]}",ENTRY:READY|EXIT:NONE,ENTRY_FILLED,ENTRY_FILLED,COFORGE,2026-07-20T11:48:00,DR1812
HOLD,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,5,ACTIVE,"{""active_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""analytics"": {""last_pnl"": 0.0134, ""last_pnl_value"": 0.2, ""max_pnl"": 0.0134, ""max_pnl_value"": 0.2, ""max_price"": 1497.7, ""max_time"": ""2026-07-20T11:48:00"", ""min_pnl"": 0.0, ""min_pnl_value"": 0.0, ""min_price"": 1497.5, ""min_time"": ""2026-07-20T11:51:00+05:30""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 1497.5, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1497.5, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": true, ""signal_action"": ""HOLD"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T11:51:00+05:30"", ""terminal"": false}",ACTIVE,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,COFORGE,2026-07-20T11:51:00,
DOWNGRADE,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,6,PROTECT,"{""active_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""analytics"": {""last_pnl"": 0.2137, ""last_pnl_value"": 3.2, ""max_pnl"": 0.2137, ""max_pnl_value"": 3.2, ""max_price"": 1498.5, ""max_time"": ""2026-07-20T12:00:00"", ""min_pnl"": -0.0534, ""min_pnl_value"": -0.8, ""min_price"": 1494.5, ""min_time"": ""2026-07-20T12:09:00+05:30""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""MATURE_EXTENSION"", ""audit_mode"": ""PRODUCTION"", ""close"": 1494.5, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1494.5, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": true, ""signal_action"": ""DOWNGRADE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED"", ""signal_stage"": ""PROTECT"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T12:09:00+05:30"", ""terminal"": false}",ACTIVE,AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,DOWNGRADE:PROTECT:AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,COFORGE,2026-07-20T12:09:00,
HOLD,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,7,PROTECT,"{""active_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""analytics"": {""last_pnl"": 0.4474, ""last_pnl_value"": 6.7, ""max_pnl"": 0.4474, ""max_pnl_value"": 6.7, ""max_price"": 1498.5, ""max_time"": ""2026-07-20T12:00:00"", ""min_pnl"": -0.0534, ""min_pnl_value"": -0.8, ""min_price"": 1491.0, ""min_time"": ""2026-07-20T12:12:00+05:30""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""MATURE_EXTENSION"", ""audit_mode"": ""PRODUCTION"", ""close"": 1491.0, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1491.0, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": true, ""signal_action"": ""HOLD"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED"", ""signal_stage"": ""PROTECT"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T12:12:00+05:30"", ""terminal"": false}",PROTECT,AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,HOLD:PROTECT:AUCTION_CONFIRMED_MATURE_EXTENSION_ALIGNED,COFORGE,2026-07-20T12:12:00,
EXIT_FILLED,,1,TRADE,TRADE_EXECUTOR,8,ENTRY:FILLED|EXIT:FILLED,"{""audit_mode"": ""PRODUCTION"", ""entry_order_id"": null, ""entry_status"": ""FILLED"", ""exec_status"": null, ""executed_entry_price"": 1497.7, ""executed_entry_qty"": 1, ""executed_exit_price"": 1491.0, ""executed_exit_qty"": 1, ""execution_mode"": ""VIRTUAL"", ""exit_order_id"": null, ""exit_reason"": ""ADAPTIVE_TARGET"", ""exit_rule"": ""exit_on_current_adaptive_target"", ""exit_status"": ""FILLED"", ""instrument_type"": ""EQ"", ""planned_entry_price"": 1497.7, ""side"": ""SELL"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""updated_fields"": [""exec_last_checked_at"", ""exec_status"", ""exec_status_message"", ""executed_exit_price"", ""executed_exit_qty"", ""exit_exec_time"", ""exit_pnl"", ""exit_reconciled_at"", ""exit_status"", ""exit_time"", ""last_pnl"", ""last_pnl_value"", ""last_price"", ""last_time"", ""reconcile_last_checked_at"", ""reconcile_status"", ""reconcile_status_message""]}",ENTRY:FILLED|EXIT:READY,EXIT_FILLED,EXIT_FILLED,COFORGE,2026-07-20T12:12:00,DR1812
PROMOTE,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,9,ACTIVE,"{""active_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""analytics"": {""last_pnl"": 0.3939, ""last_pnl_value"": 5.9, ""max_pnl"": 0.4474, ""max_pnl_value"": 6.7, ""max_price"": 1498.5, ""max_time"": ""2026-07-20T12:00:00"", ""min_pnl"": -0.0534, ""min_pnl_value"": -0.8, ""min_price"": 1491.0, ""min_time"": ""2026-07-20T12:12:00""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 1491.8, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1491.8, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": true, ""signal_action"": ""PROMOTE"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T12:15:00+05:30"", ""terminal"": false}",PROTECT,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,PROMOTE:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,COFORGE,2026-07-20T12:15:00,
HOLD,,8fe06372-2c41-5455-a8d7-d416c3095471,SIGNAL,SIGNAL_GENERATOR,10,ACTIVE,"{""active_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""analytics"": {""last_pnl"": 0.3806, ""last_pnl_value"": 5.7, ""max_pnl"": 0.4474, ""max_pnl_value"": 6.7, ""max_price"": 1498.5, ""max_time"": ""2026-07-20T12:00:00"", ""min_pnl"": -0.0534, ""min_pnl_value"": -0.8, ""min_price"": 1491.0, ""min_time"": ""2026-07-20T12:12:00""}, ""auction_action"": ""LOCAL_CONFIRMED"", ""auction_state"": ""ORDERLY_DOWNTREND"", ""audit_mode"": ""PRODUCTION"", ""close"": 1492.0, ""competing_confirmed_opportunity"": false, ""current_candidate_id"": ""ACCEPT:COFORGE:eaa05407fa70961d5ecc1003"", ""current_opportunity_key"": ""OPPORTUNITY:ff4dc016c250bffcfe6a6a0c"", ""directional_alignment"": ""ALIGNED"", ""ltp"": 1492.0, ""opportunity_lifecycle"": ""ELIGIBLE"", ""same_opportunity"": true, ""signal_action"": ""HOLD"", ""signal_id"": ""8fe06372-2c41-5455-a8d7-d416c3095471"", ""signal_reason_code"": ""AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED"", ""signal_stage"": ""ACTIVE"", ""signal_status"": ""OPEN"", ""snapshot_time"": ""2026-07-20T12:18:00+05:30"", ""terminal"": false}",ACTIVE,AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,HOLD:ACTIVE:AUCTION_CONFIRMED_ORDERLY_DOWNTREND_ALIGNED,COFORGE,2026-07-20T12:18:00,
