error_message,error_type,signal_id,snapshot_index,snapshot_time,symbol,trade_id,userid
"(mysql.connector.errors.DataError) 1406 (22001): Data too long for column 'exit_rule' at row 1
[SQL: UPDATE user_trades SET exit_status=%(exit_status)s, exit_reason=%(exit_reason)s, exit_rule=%(exit_rule)s, exit_time=%(exit_time)s, exit_intent_time=%(exit_intent_time)s, exit_price=%(exit_price)s WHERE user_trades.id = %(user_trades_id)s]
[parameters: [{'exit_status': 'READY', 'exit_reason': 'RELATED_PRIMARY_EXIT', 'exit_rule': 'close_sibling_legs_on_primary_exit:WEAKENING_RISK_EXIT:exit_at_observed_price_when_new_mae_stop_is_already_breached', 'exit_time': datetime.datetime(2026, 7, 24, 10, 30), 'exit_intent_time': datetime.datetime(2026, 7, 24, 10, 30), 'exit_price': Decimal('13265.00'), 'user_trades_id': 1}, {'exit_status': 'READY', 'exit_reason': 'RELATED_PRIMARY_EXIT', 'exit_rule': 'close_sibling_legs_on_primary_exit:WEAKENING_RISK_EXIT:exit_at_observed_price_when_new_mae_stop_is_already_breached', 'exit_time': datetime.datetime(2026, 7, 24, 10, 30), 'exit_intent_time': datetime.datetime(2026, 7, 24, 10, 30), 'exit_price': Decimal('433.75'), 'user_trades_id': 3}]]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",DataError,de89da2b-1720-5888-a8ea-923a234caca7,26,2026-07-24T10:30:00+05:30,MARUTI26AUGFUT,2,DR1812
"(mysql.connector.errors.DataError) 1406 (22001): Data too long for column 'exit_rule' at row 1
[SQL: UPDATE user_trades SET exit_status=%(exit_status)s, exit_reason=%(exit_reason)s, exit_rule=%(exit_rule)s, exit_time=%(exit_time)s, exit_intent_time=%(exit_intent_time)s, exit_price=%(exit_price)s WHERE user_trades.id = %(user_trades_id)s]
[parameters: {'exit_status': 'READY', 'exit_reason': 'RELATED_PRIMARY_EXIT', 'exit_rule': 'close_sibling_legs_on_primary_exit:WEAKENING_RISK_EXIT:exit_at_observed_price_when_new_mae_stop_is_already_breached', 'exit_time': datetime.datetime(2026, 7, 24, 10, 33), 'exit_intent_time': datetime.datetime(2026, 7, 24, 10, 33), 'exit_price': Decimal('433.75'), 'user_trades_id': 3}]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",DataError,de89da2b-1720-5888-a8ea-923a234caca7,27,2026-07-24T10:33:00+05:30,MARUTI,1,DR1812
